Row #,Species,Count,Location,S/P,Date,LocID,SubID
2614,Southern Emuwren,3,Barren Grounds Nature Reserve,AU-NSW,08 Dec 2017,L945748,S40968997
2615,Mallee Emuwren,9,Hattah-Kulkyne National Park--Nowingi Track,AU-VIC,04 Dec 2017,L1836621,S40896383
2616,Variegated Fairywren,5,Sandy Camp Road Wetlands,AU-QLD,24 Nov 2017,L1788977,S40702365
2617,Lovely Fairywren,1,"AU-QLD-87 Mount Lewis Road (-16.5774,145.3313)",AU-QLD,01 Dec 2017,L6522546,S40830285
2618,Splendid Fairywren,2,"AU-VIC-Ouyen-Patchewollock Road (-35.2482,142.1850)",AU-VIC,04 Dec 2017,L6533256,S40900807
2619,Superb Fairywren,15,Lytton Wader Roost and Wynnum Mangrove Boardwalk,AU-QLD,24 Nov 2017,L1177500,S40702355
2620,White-winged Fairywren,9,Lake Tutchewop,AU-VIC,05 Dec 2017,L2543366,S40918682
2621,Red-backed Fairywren,2,"AU-QLD-Lamington National Park Road (-28.1338,153.1121)",AU-QLD,26 Nov 2017,L6514423,S40770877
2622,Eastern Spinebill,1,O'Reilly's Rainforest Retreat,AU-QLD,25 Nov 2017,L921568,S40720634
2623,Yellow-spotted Honeyeater,11,Cassowary House (Kuranda),AU-QLD,28 Nov 2017,L920581,S40782662
2624,Lewin's Honeyeater,1,Anstead Bushland Reserve--south end,AU-QLD,25 Nov 2017,L1167564,S40714702
2625,Graceful Honeyeater,1,"AU-QLD-Julatten QLD 4871 (-16.5772,145.3110)",AU-QLD,30 Nov 2017,L6520521,S40815380
2626,Yellow Honeyeater,3,Granite Gorge Nature Park,AU-QLD,29 Nov 2017,L3324785,S40799377
2627,White-fronted Honeyeater,3,"AU-VIC-Hopetoun-Walpeup Road (-35.2838,142.1595)",AU-VIC,04 Dec 2017,L6533261,S40900817
2628,Yellow-faced Honeyeater,14,"AU-QLD-Lamington National Park Road (-28.1406,153.1135)",AU-QLD,26 Nov 2017,L6514426,S40770888
2629,Yellow-tufted Honeyeater,3,Chiltern-Mt Pilot NP—Depot Rd,AU-VIC,06 Dec 2017,L6538363,S40938289
